iter	Passed	Remaining
674	23612	11369
675	23655	11338
676	23694	11304
677	23735	11272
678	23803	11253
679	23861	11228
680	23919	11204
681	23975	11179
682	24034	11155
683	24077	11123
684	24119	11091
685	24163	11060
686	24205	11028
687	24244	10994
688	24284	10961
689	24324	10928
690	24361	10893
691	24398	10859
692	24436	10825
693	24474	10791
694	24508	10755
695	24544	10720
696	24591	10690
697	24648	10664
698	24690	10631
699	24723	10595
700	24758	10560
701	24791	10523
702	24826	10488
703	24861	10452
704	24895	10417
705	24928	10381
706	24965	10346
707	25002	10311
708	25046	10279
709	25099	10251
710	25137	10217
711	25174	10182
712	25210	10147
713	25248	10113
714	25286	10079
715	25324	10044
716	25360	10009
717	25395	9974
718	25440	9942
719	25478	9908
720	25515	9873
721	25555	9840
722	25592	9805
723	25631	9771
724	25669	9736
725	25723	9708
726	25774	9678
727	25810	9643
728	25846	9608
729	25885	9573
730	25925	9540
731	25967	9507
732	26011	9474
733	26053	9441
734	26094	9408
735	26137	9375
736	26177	9341
737	26218	9307
738	26269	9278
739	26316	9246
740	26359	9213
741	26396	9178
742	26439	9145
743	26503	9119
744	26549	9087
745	26602	9057
746	26649	9025
747	26705	8997
748	26743	8962
749	26782	8927
750	26818	8891
751	26856	8856
752	26910	8827
753	26982	8803
754	27031	8771
755	27078	8739
756	27125	8707
757	27164	8672
758	27197	8635
759	27233	8600
760	27270	8564
761	27306	8528
762	27346	8494
763	27392	8461
764	27426	8425
765	27460	8388
766	27493	8351
767	27526	8315
768	27562	8279
769	27597	8243
770	27631	8206
771	27666	8171
772	27701	8134
773	27734	8098
774	27769	8062
775	27805	8026
776	27840	7990
777	27876	7954
778	27923	7921
779	27957	7885
780	27990	7848
781	28026	7813
782	28062	7777
783	28096	7740
784	28131	7704
785	28176	7671
786	28211	7635
787	28244	7598
788	28278	7562
789	28311	7525
790	28344	7489
791	28379	7453
792	28412	7416
793	28445	7380
794	28479	7343
795	28512	7307
796	28545	7270
797	28580	7234
798	28611	7197
799	28645	7161
800	28679	7125
801	28712	7088
802	28745	7052
803	28778	7015
804	28812	6979
805	28846	6943
806	28879	6906
807	28915	6870
808	28948	6834
809	28982	6798
810	29016	6762
811	29049	6725
812	29083	6689
813	29117	6653
814	29149	6616
815	29183	6580
816	29216	6544
817	29250	6507
818	29282	6471
819	29317	6435
820	29351	6399
821	29385	6363
822	29422	6327
823	29459	6292
824	29492	6255
825	29525	6219
826	29560	6183
827	29593	6147
828	29628	6111
829	29660	6075
830	29695	6039
831	29729	6002
832	29762	5966
833	29799	5931
834	29832	5894
835	29866	5859
836	29901	5823
837	29936	5787
838	29970	5751
839	30006	5715
840	30039	5679
841	30072	5643
842	30107	5607
843	30144	5571
844	30179	5535
845	30212	5499
846	30246	5463
847	30280	5427
848	30315	5391
849	30349	5355
850	30382	5319
851	30417	5283
852	30451	5247
853	30486	5211
854	30522	5176
855	30555	5140
856	30588	5104
857	30623	5068
858	30657	5032
859	30691	4996
860	30725	4960
861	30758	4924
862	30792	4888
863	30824	4852
864	30859	4816
865	30893	4780
866	30927	4744
867	30960	4708
868	30993	4672
869	31026	4636
870	31061	4600
871	31096	4564
872	31129	4528
873	31162	4492
874	31198	4456
875	31233	4421
876	31267	4385
877	31302	4349
878	31336	4313
879	31370	4277
880	31403	4241
881	31438	4205
882	31471	4170
883	31506	4134
884	31540	4098
885	31574	4062
886	31608	4026
887	31642	3990
888	31676	3955
889	31713	3919
890	31751	3884
891	31809	3851
892	31862	3817
893	31898	3782
894	31932	3746
895	31966	3710
896	32001	3674
897	32037	3638
898	32083	3604
899	32228	3580
900	32286	3547
901	32332	3512
902	32376	3477
903	32418	3442
904	32458	3407
905	32500	3371
906	32539	3336
907	32579	3300
908	32616	3265
909	32655	3229
910	32692	3193
